"CodeTable","Code","Description","CodeGroup","PrimaryDescription","Notes","OpenIssues"
"ACC","0","No Accreditation","Accreditation Body/Source","","",""
"ACC","1","ISO Accreditation","Accreditation Body/Source","","",""
"ACC","2","GLP Accreditation","Accreditation Body/Source","","",""
"ACC","3","AABB Accreditation","Accreditation Body/Source","","",""
"ACC","4","ISO/ILAC Guide 19 Accreditation","Accreditation Body/Source","","",""
"ACC","5","ASCLD Lab Accreditation","Accreditation Body/Source","","",""
"ACC","6","Other","Accreditation Body/Source","","",""
"ACC","255","Unknown","Accreditation Body/Source","","",""
"ACC","N","Nuclear","Accreditation Scope","","",""
"ACC","M","Mitochondrial","Accreditation Scope","","",""
"ACC","D","Database","Accreditation Scope","","",""
"ACC","O","Other","Accreditation Scope","","",""
"AMPCD","UP","Unable to print (e.g., bandaged or completely amputated)","","","AMPCD = Table 72",""
"AMPCD","XX","Partial print due to amputation","","","",""
"AMPCD","SR","Scar","","","",""
"ANGLE","180","Angle cannot be determined or is undefined","","","",""
"ANL","ac","Alar curvature (or alar crest) point: The most lateral point in the curved base line of each ala","","","ANL = Table 65",""
"ANL","al","Alare: The most lateral point on each alar contour","","","",""
"ANL","cdl","Condylion laterale: The most lateral point on the surface of the condyle of the mandible","","","",""
"ANL","ch","Chelion: The point located at each labial commissure","","","",""
"ANL","cph","Christa philtri landmark: The point on each elevated margin of the philtrum just above the vermilion line","","","",""
"ANL","en","Endocanthion: The point at the inner commissure of the eye fissure  ","","","",""
"ANL","eu","Eurion: The most prominent lateral point on each side of the skull in the area of the parietal and temporal bones","","","",""
"ANL","ex","Exocanthion (or ectocanthion): The point at the outer commissure of the eye fissure","","","",""
"ANL","ft","Frontotemporale: The point on each side of the forehead, laterally from the elevation of the linea temporalis","","","",""
"ANL","g","Glabella: The most prominent middle point between the eyebrows","","","",""
"ANL","gn","Menton (or gnathion): The lowest median landmark on the lower border of the mandible","","","",""
"ANL","go","Gonion: The most lateral point on the mandibural angle close to the bony gonion","","","",""
"ANL","li","Labiale (or labrale) inferius: The midpoint of the lower vermillion line","","","",""
"ANL","ls","Labiale (or labrale) superius: The midpoint of the upper vermillion line","","","",""
"ANL","mf","Maxillofrontale: The base of the nasal root medially from each endocanthi","","","",""
"ANL","n","Nasion: The point in the middle of both the nasal root and nasofrontal suture","","","",""
"ANL","obi","Pbotasion inferius: The point of attachment of the helix in the temporal region","","","",""
"ANL","obs","Otobasion superius: The point of attachment of the helix in the temporal region","","","",""
"ANL","op","Opisthocranion: Situated in the occipital region of the head is most distant from the glabella","","","",""
"ANL","or","Orbitale: The lowest point on the lower margin of each orbit","","","",""
