"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"X","1","[01]","","","","","Package Information Record (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","Information describing transaction.","","","itl:PackageInformationRecord","http://biometrics.nist.gov/standard/2011","itl:PackageInformationRecordType","itl:PackageInformationRecord","","","","",""
"T","1/LEN:T","[01.001:T]","","","","LEN","Record Header","M","N","2","*","1","1","","","Data_T","","","","","","","","","","","","","","","","","Record length in bytes.","","","","","","","","","","",""
"X","1/XRCC:X","[01.001:X]","","","","XRCC","XML Record Category Code","M","N","1","2","1","1","","","Data_X","","","{1}","","","","","","","","","","","","","","Numeric representation of Record Type that the associated block of XML elements represent within the overall transaction, for example 1 for Type-1 Record Type, 14 for Type-14 Record Type. The Record Types are defined within the ANSI-NIST standard.","","<biom:RecordCategoryCode>1</biom:RecordCategoryCode>","biom:RecordCategoryCode","http://niem.gov/niem/biometrics/1.0","biom:RecordCategoryCodeType","itl:PackageInformationRecord/biom:RecordCategoryCode","","","","","<biom:RecordCategoryCode>01</biom:RecordCategoryCode>"
"X","1/VER_1/ANM","[01.002_01.017]","","","","","Transaction (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","This is the parent XML tag for detailed transaction information traditionally grouped in a Type 1 logical record.","","","biom:Transaction","http://niem.gov/niem/biometrics/1.0","biom:TransactionType","itl:PackageInformationRecord/biom:Transaction","Applies to 1.002, 1.003, 1.004, 1.005, 1.006, 1.007, 1.008, 1.009, 1.010, 1.011, 1.012, 1.013, 1.014, 1.015, 1.016, and 1.017.","","","",""
"T","1/VER:T","[01.002:T]","","","","VER","Version Number","M","N","4","4","1","1","","","Data_1T-NX","","","{0600}","","","","","","","","","","","","","","Current version of standard implemented by software or system.","","0502","","","","","","","","",""
"X","1/VER:X1","[01.002:X1]","","","","VER","Major Version","M","N","2","2","1","1","","","Data_NX-1T","","","{05}","","","","","","","","","","","","","","A current major version number of the ANSI/NIST-ITL standard implemented by the software or system creating the file.","","<biom:TransactionMajorVersionValue>05<biom:TransactionMajorVersionValue>","biom:TransactionMajorVersionValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","itl:PackageInformationRecord/biom:Transaction/biom:TransactionMajorVersionValue","This element contains the major version number of the ANSI/NIST umbrella standard on which INTERPOL implementation is based. It must be set to ``05’’ (which represents the 2011 ANSI NIST version and the 2013 and 2015 Updates).","","","",""
"X","1/VER:X2","[01.002:X2]","","","","VER","Minor Version","M","N","2","2","1","1","","","Data_NX-1T","","","{02}","","","","","","","","","","","","","","A current minor version number of the ANSI/NIST-ITL standard implemented by the software or system creating the file. ","","<biom:TransactionMinorVersionValue>02</biom:TransactionMinorVersionValue>","biom:TransactionMinorVersionValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","itl:PackageInformationRecord/biom:Transaction/biom:TransactionMinorVersionValue","This element contains the minor version number of the ANSI/NIST umbrella standard on which INTERPOL implementation is based. It must be set to ``02’’  (which represents the 2015 Update of ANSI/NIST).","","","",""
"T","1/CNT:T","[01.003:T]","SET","2","TYPE","CNT","Transaction Content","M","","","","1","1000","","","Set_T","","","","","","","","","","","","","","","","","A summary of the record contents being transmitted (number of occurrences = number of records in the transaction).","","","","","","","The maximum occurrence in this MRT is set to 1000 since this field can have up to 1000 subfields/instances.","","","",""
"X","1/CNT:X","[01.003:X]","SET","2","TYPE","CNT","Transaction Content (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","These elements provide a summary and packing list of the record contents being transmitted within the transaction.","","            <biom:TransactionContentSummary>
                 <biom:ContentFirstRecordCategoryCode>1</biom:ContentFirstRecordCategoryCode>
                <biom:ContentRecordQuantity>00</biom:ContentRecordQuantity>
                 <biom:ContentRecordSummary>
                     <biom:ImageReferenceIdentification>
                         <nc:IdentificationID>0</nc:IdentificationID>
                     </biom:ImageReferenceIdentification>
                     <biom:RecordCategoryCode>2</biom:RecordCategoryCode>
                 </biom:ContentRecordSummary>
             </biom:TransactionContentSummary>","biom:TransactionContentSummary","http://niem.gov/niem/biometrics/1.0","biom:TransactionContentSummaryType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionContentSummary","","","","",""
"TX","1/CNT/FRC","[01.003-A]","A","","1","FRC","First Record Category Code","M^","N","1","1","1","1","","","Data","REC","","{1}","","","","","","","","","","","","","Y","Indicates first record is a Type-1 record.","This information item shall appear once and in the first subfield only.","<biom:ContentFirstCategoryCode>1</biom:ContentFirstCategoryCode>","biom:ContentFirstRecordCategoryCode","http://niem.gov/niem/biometrics/1.0","biom:FirstRecordCategoryCodeType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionContentSummary/biom:ContentFirstRecordCategoryCode","","","","",""
"TX","1/CNT/CRC","[01.003-B]","B","","1","CRC","Content Record Count","M^","N","1","3","1","1","","","Data","","","{1..999}","","","","","","","","","","","","","Y","Sum of Type-2 through to Type-99 records.","This information item shall appear once and in the first subfield only.","<biom:ContentRecordQuantity>13</biom:ContentRecordQuantity>","biom:ContentRecordQuantity","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","itl:PackageInformationRecord/biom:Transaction/biom:TransactionContentSummary/biom:ContentRecordQuantity","","","","",""
